Date;Time;CO(GT);PT08.S1(CO);NMHC(GT);C6H6(GT);PT08.S2(NMHC);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);PT08.S5(O3);T;RH;AH
12/03/2004;15.00.00;2,9;1352,75;185;14,17385118;1122,25;190;921,75;126;1740;1139,25;15,82500005;37,02499962;0,66096114
12/03/2004;16.00.00;2,8;1309;165;12,6905681;1073,25;178;954;120;1657,25;1112,25;15,87499976;37,17500019;0,665728525
12/03/2004;17.00.00;2,4;1274;133;11,73840542;1040,5;150;1005,75;119;1609,75;993,75;16,87500024;34,34999943;0,654908514
12/03/2004;18.00.00;3,9;1509,5;233;19,29097489;1276,5;206;812,25;149;1909,75;1409,5;15,14999986;39,55000019;0,676626508
12/03/2004;19.00.00;3,7;1525,25;242;18,22617829;1246;202;821;145;1846,75;1447,75;14,39999986;43,42500019;0,70844976
12/03/2004;20.00.00;6,6;1843;488;32,55627835;1609,75;340;624;170;2390,25;1886,5;12,875;50,52500057;0,747803219
12/03/2004;21.00.00;4,4;1597,75;333;20,09294356;1299;274;752;149;1940,5;1626,75;12,14999986;53,34999943;0,753620223
12/03/2004;22.00.00;3,5;1483,5;215;14,32134242;1127;253;839;139;1723;1491;10,97500014;59,12500095;0,773980003
12/03/2004;23.00.00;5,4;1677,25;367;21,81286507;1346;300;740,5;134;2062;1657;9,674999952;64,62499905;0,777073943
13/03/2004;00.00.00;2,7;1279,5;122;9,638999815;964;193;962,5;113;1543,5;1285,25;9,450000286;64,125;0,759746528
13/03/2004;01.00.00;1,9;1196,25;67;7,375139468;873;139;1071,25;97;1463,25;1144,25;9,149999857;63,90000153;0,742276413
13/03/2004;02.00.00;1,6;1183,75;43;5,36960417;781,75;83;1176,25;82;1364,5;1042,75;8,799999952;63,92499828;0,725615371
13/03/2004;03.00.00;1,7;1171,75;46;5,39010394;782,75;0;1178,5;0;1379,75;995,5;7,800000072;67,52499962;0,717312115
13/03/2004;04.00.00;0;1147;56;6,199041963;821;109;1132,25;83;1411,75;991,5;7;71,07500076;0,715778469
13/03/2004;05.00.00;1;978,25;30;2,577932199;624,75;62;1420,25;65;1274,25;819,25;8,299999952;63,57499981;0,69815462
13/03/2004;06.00.00;1,2;1099,5;27;2,908548009;646,25;53;1406,25;60;1267,5;835;7,200000048;67,47500038;0,688672147
13/03/2004;07.00.00;1,5;1112,25;47;5,136255829;770,25;139;1228;77;1408,5;939,75;6,349999905;71,89999962;0,693198559
13/03/2004;08.00.00;2,7;1335,5;132;11,8171386;1043,25;256;935,25;96;1678;1191,75;6,450000167;71,55000114;0,69447548
13/03/2004;09.00.00;3,7;1408,333333;239;15,1401612;1153;295;830,3333333;119;1776,666667;1411;9,566666603;59,66666794;0,712366561
13/03/2004;10.00.00;3,2;1447;160;12,9130631;1080,75;250;868,5;126;1666,75;1465;12,375;51,17500019;0,733458385
13/03/2004;11.00.00;4,1;1541,5;283;16,13350884;1183,75;296;808,25;158;1779,75;1582,5;15,64999986;42,19999981;0,745093758
13/03/2004;12.00.00;3,6;1451,25;210;14,01930102;1117,25;239;875,25;161;1679,25;1387,25;18,4000001;33,82499981;0,70896357
13/03/2004;13.00.00;2,8;1328,25;154;12,27966408;1059,25;153;986,5;124;1599,5;1100,5;19,35000038;31,2750001;0,695008105
13/03/2004;14.00.00;2;1206,5;112;8,618412577;924,25;118;1087,75;102;1488,25;849,75;18,02499962;34,80000019;0,712673874
13/03/2004;15.00.00;2;1239,5;108;9,19656674;947;119;1049;116;1531,75;947;18,375;33,64999962;0,704207021
13/03/2004;16.00.00;2,5;1306;111;10,24488708;986,75;138;1004;124;1554;1078;17,625;35,10000038;0,701203251
13/03/2004;17.00.00;2,3;1326;97;10,61184446;1000,25;148;975,5;125;1601,5;1083,75;16,67500019;37,79999924;0,711736404
13/03/2004;18.00.00;3,2;1472,75;191;15,45220996;1162,75;227;830,5;148;1779;1394,75;16,0999999;41,02499962;0,745131494
13/03/2004;19.00.00;4,2;1609;258;19,63678466;1286,25;277;757,5;165;1922;1611,5;15,82500005;42,40000057;0,756914328
13/03/2004;20.00.00;4,2;1610,75;284;19,20272792;1274;279;754,25;161;1915;1697,25;15,6500001;44,10000038;0,778640655
13/03/2004;21.00.00;4,2;1620,5;269;18,26931036;1247,25;283;762;159;1860;1885,5;15,32500005;46,77500057;0,809124429
13/03/2004;22.00.00;3,1;1444,25;180;13,1447043;1088,5;214;844;143;1747,5;1623,75;14,64999986;48,625;0,805969414
13/03/2004;23.00.00;2,6;1418;116;10,87336715;1009,75;172;892;130;1603;1536,25;14,70000029;49,27500057;0,819336124
14/03/2004;00.00.00;2,9;1533,5;93;10,96345796;1013;190;888,5;129;1610,75;1534,75;13,94999981;53,60000038;0,84977172
14/03/2004;01.00.00;2,8;1483,5;131;11,86017852;1044,75;174;879,75;119;1624,25;1529,75;14,64999986;51,5;0,853623133
14/03/2004;02.00.00;2,5;1366,75;92;8,624678823;924,5;128;952,5;104;1543;1337;12,54999995;58,90000057;0,853740074
14/03/2004;03.00.00;2,4;1344;132;9,737786457;967,75;0;920,5;0;1619,75;1278,25;11,64999986;63,42500019;0,867449232
14/03/2004;04.00.00;0;1129,5;56;5,191654203;773;70;1130,25;82;1451,75;1050,5;12,0999999;61,10000134;0,860316213
14/03/2004;05.00.00;1,2;1062;32;3,650423146;691;53;1271,5;70;1376,75;929;11,47500014;63,10000038;0,853275383
14/03/2004;06.00.00;1;1075,75;29;2,481341935;618,25;44;1395,25;63;1333;872,25;11,5999999;62,15000057;0,847263626
14/03/2004;07.00.00;0,9;1028,25;27;2,429984402;614,75;74;1383,5;67;1340;853;10,39999986;67,64999866;0,85299873
14/03/2004;08.00.00;1,4;1154,5;36;4,210510136;722,25;101;1224,75;84;1413,75;959,25;11,57499981;62,67499924;0,853038223
14/03/2004;09.00.00;1,6;1235,25;57;6,352276711;828;118;1055,25;83;1527;1093,25;12,42499995;60;0,862715127
14/03/2004;10.00.00;2,2;1331,5;129;8,587110475;923;144;951,75;98;1613,75;1225;14,5250001;53,07499981;0,872781622
14/03/2004;11.00.00;2,8;1444,75;148;10,85953517;1009,25;176;878,25;114;1696;1355,25;16,87500048;46,09999943;0,878931094
14/03/2004;12.00.00;2,8;1415,5;145;10,65981566;1002;161;906,75;119;1676,5;1261,5;19,30000019;38,25;0,847404802
14/03/2004;13.00.00;2;1281,25;93;7,540072456;880;113;1083,75;104;1525;980;21,17499971;31,44999981;0,781195717
14/03/2004;14.00.00;1,8;1207,25;84;7,504598795;878,5;103;1103,5;102;1489,5;872,25;21,42499971;30,19999981;0,761591877
14/03/2004;15.00.00;1,9;1257,75;99;8,160112925;905,75;112;1081,25;107;1511;900,25;21,92500019;28,95000029;0,752458955
14/03/2004;16.00.00;3;1457,75;150;11,86735832;1045;170;973,75;129;1646;1098,5;22,2249999;28,39999962;0,751627324
14/03/2004;17.00.00;2,9;1437,75;156;12,03300475;1050,75;180;942,5;128;1667,5;1206,25;21,29999971;30,75;0,769615492
14/03/2004;18.00.00;2,5;1477,75;122;12,16332331;1055,25;160;929,25;121;1670,75;1262,25;19,6500001;36,69999981;0,830706132
14/03/2004;19.00.00;4,6;1807,5;262;20,57171488;1312,25;261;753,25;157;1992,75;1697,75;18,37499952;41,72500038;0,873195771
14/03/2004;20.00.00;5,9;1898;341;23,14212581;1381,25;325;680,5;173;2102,75;1904,75;17,625;46,09999943;0,920953536
14/03/2004;21.00.00;3,4;1559,5;214;14,72045341;1139,75;217;783,75;146;1817,5;1648;16,6500001;49,57500076;0,931990047
14/03/2004;22.00.00;2,1;1324,25;100;9,004199247;939,5;146;923,5;121;1587;1422,75;16,25;50,95000076;0,934147213
14/03/2004;23.00.00;2,2;1348,75;79;8,838885079;933;152;933;119;1616,5;1348,75;14,72500014;55,92500019;0,931385622
15/03/2004;00.00.00;1,8;1238,75;66;7,357560375;872,25;104;985;99;1546,5;1250,25;14,82500005;54,67500114;0,916354325
15/03/2004;01.00.00;1,8;1239;73;6,918207216;853,25;106;1010,25;93;1543,25;1173,75;14,04999995;57;0,909448937
15/03/2004;02.00.00;1,8;1223,75;66;6,958191196;855;108;998,25;88;1565,75;1148,75;13,35000014;61,34999943;0,936085703
15/03/2004;03.00.00;1,1;1078,25;44;4,42986293;734;0;1128,25;0;1486,75;1020,5;12,5999999;63,47499943;0,923017422
15/03/2004;04.00.00;0;1077,5;44;3,995924293;710,5;66;1150;71;1467,5;1012,75;12,3499999;65,35000038;0,935112287
15/03/2004;05.00.00;1;1074,5;39;3,865914338;703,25;88;1155,75;74;1463,75;1010;11,89999986;67,44999886;0,937538177
15/03/2004;06.00.00;1,4;1156,75;51;6,38532009;829,5;138;1029,5;80;1584;1083;11,375;70,52499962;0,947516224
15/03/2004;07.00.00;2,2;1314;107;9,685046807;965,75;228;896,75;89;1710,25;1234,75;11,32499981;70,20000076;0,940095096
15/03/2004;08.00.00;5,5;1796,75;336;25,87045766;1451;360;652;114;2323;1679,5;12,4000001;63,87500095;0,916954694
15/03/2004;09.00.00;8,1;1961,25;618;36,69206253;1701;478;536,75;149;2665,25;2184,25;14,77499986;54,32499981;0,907609536
15/03/2004;10.00.00;5,8;1770,5;438;26,63602476;1470;394;621,5;157;2261,5;1973;17,4000001;45,64999962;0,899298171
15/03/2004;11.00.00;4,2;1563,5;334;20,11092309;1299,5;319;709,75;155;2029;1798,25;19,80000019;38,52500057;0,880059991
15/03/2004;12.00.00;3,1;1430;221;14,0964858;1119,75;201;830,5;134;1783,25;1522;22,0250001;34,05000019;0,890368519
15/03/2004;13.00.00;2,9;1417,25;207;14,92571923;1146,25;171;829,5;119;1830,5;1404;23,32499981;32,17499924;0,90959922
15/03/2004;14.00.00;2,9;1400,25;191;15,43614147;1162,25;159;838,25;111;1828,5;1263,25;23,875;29,97500038;0,875658529
15/03/2004;15.00.00;2,5;1317,25;185;12,09085022;1052,75;153;926;104;1706,75;1137;24,44999981;28,9000001;0,873591912
15/03/2004;16.00.00;2,3;1317,75;141;11,52482024;1033;143;949,75;99;1675;1068;24,375;29,39999962;0,884761712
15/03/2004;17.00.00;2,8;1445,25;214;14,75983347;1141;156;856,5;110;1823,5;1251,5;23,8499999;31,32500076;0,913735211
15/03/2004;18.00.00;6,1;1917;471;32,14884368;1600,5;314;631,25;162;2447;1843,25;22,54999924;35,37500095;0,954699821
15/03/2004;19.00.00;8;2039,75;685;39,20233968;1754,25;404;542,25;187;2679;2122,25;20,42500067;42,5;1,008631334
15/03/2004;20.00.00;6,5;1894,75;538;30,96130506;1573,25;320;565;165;2442,75;1991,5;18,2750001;52,62500095;1,094518093
15/03/2004;21.00.00;4,2;1594,5;319;19,89562146;1293,5;256;678,25;145;2057,5;1707;16,6500001;57,375;1,078626891
15/03/2004;22.00.00;3,2;1438,5;224;15,31585505;1158,5;193;764,25;125;1856,25;1494,25;15,69999981;60,15000057;1,065371555
15/03/2004;23.00.00;1,4;1141,5;67;6,895403347;852,25;89;1008,25;101;1547,25;1164,25;15,25000024;61,44999886;1,057955499
16/03/2004;00.00.00;2,1;1303,666667;155;11,13992917;1019,333333;127;852,3333333;103;1731,333333;1271,666667;14,0666666;65,69999949;1,049372403
16/03/2004;01.00.00;1,2;1074,25;49;5,405500616;783,5;79;1097,75;88;1483;1039,75;14,82500005;60,55000114;1,014819466
16/03/2004;02.00.00;0,8;968;29;2,810688037;640;43;1319,5;61;1385,75;866,75;14,75;59,22499943;0,987908111
16/03/2004;03.00.00;0,7;929,25;25;2,325061547;607,5;0;1375,5;0;1364,25;825,75;13,62499976;62,05000019;0,963554996
16/03/2004;04.00.00;0;941;25;2,589178303;625,5;59;1315,75;59;1373,25;839,75;12,32499981;66,15000057;0,945036195
16/03/2004;05.00.00;0,6;937;17;2,008742635;584,75;38;1411,5;52;1348;792,5;12,75;63,22500038;0,928289804
16/03/2004;06.00.00;0,9;1017;27;3,482689325;681,25;82;1245,75;64;1417,5;869,5;11,17499995;68,47500038;0,908107123
16/03/2004;07.00.00;1,3;1171,25;50;5,131232181;770;99;1161,75;70;1466,75;930;10,97500014;66,5;0,87052295
16/03/2004;08.00.00;3,4;1541;218;16,17445705;1185;263;770;97;1888,75;1406,5;11,67499995;63,65000057;0,871936588
16/03/2004;09.00.00;3,7;1539,25;285;19,66349386;1287;229;697,5;95;2054,75;1507;13,625;56,29999924;0,874265047
16/03/2004;10.00.00;5,3;1734,75;437;25,0551503;1430,5;396;628,25;150;2211;1843,25;17,82499933;42,875;0,867225463
16/03/2004;11.00.00;4,1;1571;327;20,00314878;1296,5;314;730;162;1972,75;1729;21,44999981;33,32499933;0,841671296
16/03/2004;12.00.00;3,3;1451,75;283;18,34705758;1249,5;217;775,5;154;1868,25;1583,25;24,375;27,35000038;0,823069166
16/03/2004;13.00.00;4;1579;366;22,30858298;1359,25;252;724;161;1997,75;1670,75;25,25000048;26,07500029;0,826380755
16/03/2004;14.00.00;3,8;1466,25;318;20,44477998;1308,75;263;772,5;161;1897;1491,25;25,82500029;23,1500001;0,758936963
16/03/2004;15.00.00;2,8;1279,75;228;14,61042796;1136,25;180;892,75;128;1675,25;1239,75;27;20,20000029;0,709361513
16/03/2004;16.00.00;2,9;1407;201;16,55325434;1196,5;184;905,25;129;1758,75;1313;28,24999952;18,57499981;0,701385739
16/03/2004;17.00.00;2,9;1388,75;199;15,7831831;1173;190;898,25;133;1739;1363,25;27,9749999;19,10000038;0,709825085
16/03/2004;18.00.00;3,4;1447,25;237;17,83994778;1234,75;184;858,75;139;1778;1295,75;23,9000001;25,69999981;0,751891041
16/03/2004;19.00.00;3,9;1551;261;19,09705934;1271;181;800,25;137;1874,5;1432,25;21,3499999;34,77499962;0,872993133
16/03/2004;20.00.00;3,2;1473,5;230;15,76696872;1172,5;166;854,25;143;1776;1431,75;20,42500019;36,67500019;0,870389489
16/03/2004;21.00.00;5,1;1799,5;349;24,87767187;1426;317;700;177;2105,5;2033,5;19,0250001;41,34999943;0,900730731
16/03/2004;22.00.00;2,6;1379,25;183;13,52960473;1101,25;184;817,5;138;1710;1601,75;17,92500019;45,90000057;0,934186045
16/03/2004;23.00.00;1,7;1200,5;88;9,087345627;942,75;130;935;117;1559,75;1361,75;16,70000029;48,92500019;0,922649926
17/03/2004;00.00.00;1,7;1204,75;85;8,630947011;924,75;132;922;107;1546,5;1314,25;15,52499986;52,92500019;0,92712823
17/03/2004;01.00.00;1,2;1071,5;47;5,415775468;784;95;1065,5;90;1441,75;1113,75;15,47500014;51,875;0,90587528
17/03/2004;02.00.00;0,9;997,75;34;4,050256979;713,5;70;1169,25;79;1383,25;991,5;14,125;55,57500076;0,890955806
17/03/2004;03.00.00;0,7;933,25;26;2,581678581;625;0;1291,5;0;1331,5;883,75;13,05000019;57,90000057;0,866633008
17/03/2004;04.00.00;0;882,75;17;1,898934591;576,5;54;1396;60;1303,25;808,25;12,65000033;57,90000057;0,844660353
17/03/2004;05.00.00;0,5;868,75;11;1,606828258;553,5;28;1459,5;40;1267,75;667;11,82499981;58,02500057;0,802631932
17/03/2004;06.00.00;0,5;890,75;18;1,895648214;576,25;46;1416,5;53;1289,25;733;11,9000001;57,39999962;0,797845704
17/03/2004;07.00.00;1,6;1172,75;84;7,486888715;877,75;160;1038;84;1556,25;1051,75;9,900000095;65,19999981;0,795645557
17/03/2004;08.00.00;4,1;1587,25;260;21,35879147;1333,75;320;702,25;108;1998,75;1533,5;11,125;60,20000076;0,795775687
17/03/2004;09.00.00;6,6;1851,5;534;36,44841297;1695,75;377;552,75;127;2535,25;1931;14,12499976;50,02499866;0,801980417
17/03/2004;10.00.00;4,3;1521,5;368;21,2666241;1331,25;280;702,5;134;2025,75;1733,75;17,69999981;40,09999943;0,804829145
17/03/2004;11.00.00;2,9;1438,25;200;15,38797876;1160,75;221;818,5;135;1781,5;1595;21,10000038;33,42500019;0,826486216
17/03/2004;12.00.00;2,5;1393,25;145;12,49907422;1066,75;210;905;142;1654,25;1489,75;24,30000019;28,27500057;0,84712769
17/03/2004;13.00.00;2,8;1452;188;15,10830975;1152;204;860,5;153;1747;1507,5;25,57500029;25,55000019;0,825394883
17/03/2004;14.00.00;2,6;1389,25;152;13,73529005;1108;161;886,5;123;1711,5;1334;25,85000038;25,9000001;0,850339343
17/03/2004;15.00.00;2;1207;103;10,43447407;993,75;135;1013;104;1519,5;1044,75;26,82499981;18,69999981;0,650017745
17/03/2004;16.00.00;2,9;1365,25;193;15,16406855;1153,75;186;939,5;129;1678,5;1221,25;29,2750001;15,75000024;0,630890454
17/03/2004;17.00.00;2,5;1247;134;12,30882302;1060,25;147;1032;114;1524,75;1068,5;28,5;14,9000001;0,570801909
17/03/2004;18.00.00;5;1556,75;386;26,95102501;1477,75;299;793;158;1980,5;1568,5;25,85000038;15,95000029;0,523664583
17/03/2004;19.00.00;7,6;1972,5;577;38,39324611;1737,25;411;616,75;194;2413,75;2305,5;23,125;26,5;0,74026061
17/03/2004;20.00.00;6,7;1974,75;523;35,10363128;1666,5;347;596,75;182;2415,5;2358,5;20,52499962;38,24999905;0,913314177
17/03/2004;21.00.00;5,7;1794,75;472;27,24713083;1485;336;652,5;180;2174;2050;19,05000019;42,60000038;0,929387704
17/03/2004;22.00.00;2,8;1443,75;206;15,04469266;1150;202;769,5;136;1726,5;1726,5;17,1500001;44,12500095;0,85583071
17/03/2004;23.00.00;2,6;1488;216;15,71027437;1170,75;178;731;127;1777,5;1705;16,0250001;50,92499924;0,920598758
18/03/2004;00.00.00;2,3;1371,25;159;12,97267335;1082,75;154;795,75;116;1668,75;1550,5;14,79999995;53,92499924;0,902354487
18/03/2004;01.00.00;1,4;1160,75;70;8,12342212;904,25;92;946,75;107;1502;1240,25;14,27499986;55,44999981;0,897473061
18/03/2004;02.00.00;1;1064,25;44;5,477599159;787;61;1056,75;88;1407;1115;14,75;52,07499981;0,868641877
18/03/2004;03.00.00;0,7;970,25;42;3,581202459;687;0;1195,5;0;1350,5;968,5;13,875;53,875;0,850058903
18/03/2004;04.00.00;0;954;28;2,884931455;644,75;60;1260,25;78;1334;924,75;11,5999999;61,92499924;0,844196282
18/03/2004;05.00.00;0,6;930,5;20;2,548044693;622,75;37;1293,25;57;1306,5;827,75;12;58,85000038;0,823302452
18/03/2004;06.00.00;0,7;938;26;2,971926293;650,25;68;1251,25;71;1332,5;893;10,94999981;62,07499981;0,811276563
18/03/2004;07.00.00;1,5;1166,25;78;7,664791387;885,25;139;1005,25;85;1550,5;1075;10,57500005;63,25;0,806681846
18/03/2004;08.00.00;4,7;1643;319;23,25679956;1384,25;339;667;124;2093,75;1610,25;11,47500014;60,02500057;0,811693424
18/03/2004;09.00.00;6,6;1934;506;35,79057071;1681,5;421;540,5;151;2468,25;2050,5;14,27500033;50,57500076;0,818569924
18/03/2004;10.00.00;4,5;1616,5;0;21,31268654;1332,5;349;685,75;150;2010;1818,5;17,8499999;40,52499962;0,820964333
18/03/2004;11.00.00;2,8;1472,75;0;14,30578638;1126,5;224;830,5;152;1752;1567,75;20,80000067;34,44999981;0,83645626
18/03/2004;12.00.00;2,2;1378,5;0;12,52110631;1067,5;171;898,75;139;1662,5;1373,5;23,8499999;28,17499971;0,821851195
18/03/2004;13.00.00;2,2;1385,25;0;12,19236423;1056,25;149;891;133;1648;1267,5;24,1500001;28,67500019;0,851493361
18/03/2004;14.00.00;2,3;1378,75;0;13,09224479;1086,75;137;901,25;126;1660,25;1143,5;25,15000057;24,85000038;0,782925012
18/03/2004;15.00.00;2,2;1321,666667;0;14,37324794;1128,666667;149;933,6666667;128;1639,333333;1109,333333;27,03333346;17,83333333;0,627469327
18/03/2004;16.00.00;2,8;1495,75;0;16,83563434;1205;172;822;169;1766,5;1347,25;27,12500048;23,12499952;0,818014479
18/03/2004;17.00.00;2,7;1408,75;0;14,45385965;1131,25;166;873;149;1688,5;1205,75;25,80000019;23,92500019;0,783192918
18/03/2004;18.00.00;3,7;1512,75;0;21,5158658;1338;214;764,25;156;1956,5;1397;23,04999971;26,77499962;0,744593318
18/03/2004;19.00.00;5,1;1667;0;26,40333589;1464,25;280;683,25;168;2117,75;1588,25;20,7249999;31,125;0,752286519
18/03/2004;20.00.00;5,1;1666,75;0;25,96061982;1453,25;276;683,5;176;2051;1568,5;18,5999999;36,17500019;0,767639178
18/03/2004;21.00.00;3,2;1430,25;0;14,14288336;1121,25;178;814;135;1731,5;1321,5;16,04999971;48,42500019;0,876780241
18/03/2004;22.00.00;2,1;1333,25;0;10,3056641;989;129;885,25;121;1620,75;1194;14,45000005;57,77500057;0,945557828
18/03/2004;23.00.00;1,7;1261,5;0;8,276765149;910,5;95;948,25;99;1545,25;1061,5;13,05000019;64,17500019;0,960555664
19/03/2004;00.00.00;2;1287,25;0;8,921378917;936,25;126;918;106;1606;1040;11,97499967;69,69999886;0,97351894
19/03/2004;01.00.00;1,6;1134,25;0;6,618666372;840;103;1021,25;96;1501,25;917;11,94999981;71,10000038;0,991470559
19/03/2004;02.00.00;0,9;998,75;0;3,594138291;687,75;48;1228,5;63;1380,25;593,5;12,5250001;69,29999924;1,002870845
19/03/2004;03.00.00;0,7;960,75;0;2,529440504;621,5;0;1381,5;0;1300,75;430,25;12,5250001;67,49999809;0,976822235
19/03/2004;04.00.00;0;933,75;0;1,794977533;568,5;20;1439,75;32;1280,25;397;12,32499981;67,65000153;0,966465601
19/03/2004;05.00.00;0,5;912,75;0;1,268602112;524,5;18;1619,75;28;1260,25;370;12,45000005;66,80000114;0,96203688
19/03/2004;06.00.00;0,7;969,25;0;2,314320289;606,75;56;1372,5;61;1323,75;438;12,34999967;66,30000114;0,948706111
